,0,cycle_Nr,Re(Z)0.00931323,-Im(Z)0.00931323,Re(Z)0.0139698,-Im(Z)0.0139698,Re(Z)0.0209548,-Im(Z)0.0209548,Re(Z)0.0325963,-Im(Z)0.0325963,Re(Z)0.0488944,-Im(Z)0.0488944,Re(Z)0.0721775,-Im(Z)0.0721775,Re(Z)0.107102,-Im(Z)0.107102,Re(Z)0.158325,-Im(Z)0.158325,Re(Z)0.235159,-Im(Z)0.235159,Re(Z)0.349246,-Im(Z)0.349246,Re(Z)0.516884,-Im(Z)0.516884,Re(Z)0.768341,-Im(Z)0.768341,Re(Z)1.14087,-Im(Z)1.14087,Re(Z)1.69268,-Im(Z)1.69268,Re(Z)2.51224,-Im(Z)2.51224,Re(Z)3.72762,-Im(Z)3.72762,Re(Z)5.53438,-Im(Z)5.53438,Re(Z)8.21194,-Im(Z)8.21194,Re(Z)12.184,-Im(Z)12.184,Re(Z)18.077,-Im(Z)18.077,Re(Z)26.8198,-Im(Z)26.8198,Re(Z)39.8047,-Im(Z)39.8047,Re(Z)59.0552,-Im(Z)59.0552,Re(Z)87.684,-Im(Z)87.684,Re(Z)130.089,-Im(Z)130.089,Re(Z)193.035,-Im(Z)193.035,Re(Z)286.568,-Im(Z)286.568,Re(Z)425.149,-Im(Z)425.149,Re(Z)630.738,-Im(Z)630.738,Re(Z)936.063,-Im(Z)936.063,Re(Z)1390.0,-Im(Z)1390.0,Re(Z)2063.0,-Im(Z)2063.0,Re(Z)3061.0,-Im(Z)3061.0,Re(Z)4542.0,-Im(Z)4542.0,Re(Z)6740.0,-Im(Z)6740.0,Re(Z)10001.0,-Im(Z)10001.0,I(uA),Q_relative
0,,1.0,48852.2,46573.1,39784.6,41140.6,41164.0,38890.6,38284.1,33659.9,36293.0,28336.3,34619.9,24173.4,33395.9,20196.1,31923.1,16555.0,29705.9,13207.8,27811.1,10576.3,26130.5,8611.61,24760.2,7190.69,23657.6,6144.15,22631.5,5456.84,21682.4,5028.83,20756.5,4859.8,19795.4,4894.37,18729.9,5102.05,17502.5,5420.33,16096.2,5765.99,14510.9,6042.43,12797.5,6176.78,11042.9,6119.76,9338.71,5880.8,7757.96,5485.34,6342.67,4982.9,5113.74,4430.5,4069.38,3866.3,3192.45,3317.36,2468.64,2800.16,1880.17,2323.93,1414.24,1897.71,1052.98,1524.2,780.681,1205.81,576.129,936.676,20.1169,672.406,20.0,0.76
1,,2.0,4262.66,744.727,4109.63,680.813,3915.34,646.593,3753.19,610.109,3632.0,590.529,3460.85,556.29,3348.26,536.941,3218.56,519.4,3078.25,501.626,2946.45,487.526,2822.57,467.573,2700.92,454.951,2590.08,440.453,2484.03,426.848,2381.54,416.192,2283.0,407.998,2186.52,402.07,2090.17,397.887,1995.49,396.19,1900.88,395.982,1803.47,396.869,1706.1,398.409,1607.92,400.743,1508.63,403.369,1408.27,407.367,1306.46,412.059,1201.52,416.41,1094.29,420.84,984.566,422.613,871.517,420.312,757.618,412.038,645.912,397.294,539.758,373.883,440.624,342.631,352.459,305.143,281.641,268.239,20.0,0.72
2,,3.0,1475.7,466.609,1343.66,418.363,1274.42,371.091,1175.12,330.92,1100.94,302.348,1028.56,281.0,962.757,260.804,910.59,243.71,857.347,227.845,802.499,210.987,751.674,198.882,703.08,183.267,658.154,171.351,616.449,158.823,578.052,147.556,542.789,136.46,510.757,126.32,480.894,117.024,453.213,107.949,427.91,100.7,404.793,93.2055,383.227,86.4027,363.399,80.9338,344.816,75.7917,327.46,72.0086,311.452,68.993,295.629,66.9526,280.388,66.5611,265.193,66.2011,249.524,67.2323,233.199,68.8636,215.901,70.6,197.916,72.8279,178.468,73.8025,157.575,72.0772,133.864,68.9481,20.0,0.73
3,,4.0,903.619,321.803,836.947,268.775,776.234,249.611,724.889,213.158,679.224,191.325,637.35,173.753,594.803,158.885,561.326,147.645,529.737,137.494,499.811,126.374,469.155,116.55,441.935,108.812,415.801,100.183,390.88,92.5046,368.401,85.2114,348.606,78.4868,329.958,72.1142,313.046,66.5918,297.233,61.7613,283.382,56.6283,270.346,53.0079,258.188,50.0939,247.109,47.8761,235.716,45.855,225.743,44.7237,214.917,44.0103,204.546,44.28,194.233,44.581,183.14,45.8549,171.382,46.5797,159.388,47.1922,147.119,47.9426,133.406,47.5855,120.451,46.9005,107.645,44.277,94.0251,41.8847,20.0,0.68
4,,5.0,860.372,306.783,787.428,257.149,740.479,232.201,687.78,198.357,644.641,176.4,608.289,162.611,568.839,148.172,536.578,137.131,508.108,126.416,479.451,115.821,452.389,108.35,427.071,99.3348,403.495,92.3194,381.796,84.571,361.857,77.8437,343.83,70.9826,326.963,65.254,312.557,60.3146,298.701,55.914,286.042,51.5017,274.806,48.4032,264.263,46.4533,253.938,44.8741,243.248,43.4377,233.305,44.1545,222.746,44.4741,212.129,45.8164,200.602,47.2396,188.869,49.4135,175.909,50.2708,162.078,51.4133,148.507,51.3697,133.995,50.1709,120.529,48.6607,107.826,45.6482,95.3007,40.9052,20.0,0.67
5,,6.0,904.132,312.05,845.379,282.438,790.942,232.332,737.361,209.708,690.859,188.272,653.33,171.423,612.728,154.8,581.135,141.511,549.805,131.113,519.279,122.395,491.897,112.705,464.221,104.458,439.643,95.6533,416.434,87.4981,395.4,80.0925,376.817,73.6141,359.884,67.0976,344.643,61.8156,330.51,57.2189,317.617,53.802,306.224,50.7085,294.888,49.2947,283.72,48.3037,272.997,48.5161,261.524,49.6536,249.846,51.4538,236.63,53.5003,223.826,55.984,208.768,57.7016,194.024,59.3608,177.828,59.9892,161.248,59.5654,145.484,57.8925,130.298,55.0261,116.683,50.2573,104.887,46.7491,20.0,0.69
6,,7.0,1005.46,336.43,929.102,294.241,883.019,262.407,815.152,227.076,770.386,202.272,723.774,184.888,686.608,170.235,649.724,156.425,612.21,143.895,578.274,131.881,545.116,121.297,515.19,111.799,489.368,102.923,465.616,94.3678,443.945,86.9202,424.568,79.2755,407.251,72.8211,391.075,67.1658,376.727,63.3006,363.477,59.7603,351.297,56.9909,339.187,56.6157,326.806,56.2868,313.809,56.7712,300.96,59.0001,286.112,61.6002,271.408,64.13,254.773,66.7754,237.194,68.9564,218.008,71.2313,198.539,70.9209,179.198,69.5267,160.63,66.445,142.736,61.831,127.507,56.4579,113.246,50.4373,20.0,0.64
7,,8.0,1088.1,368.74,1014.62,306.38,947.381,282.918,889.914,241.015,838.081,215.456,792.946,195.469,744.174,178.663,703.36,165.147,667.331,152.67,634.734,141.748,603.834,130.681,573.624,119.538,545.097,110.93,519.041,101.235,494.717,92.8864,473.301,84.9832,453.576,78.4686,436.016,72.3407,419.389,67.7447,404.589,64.5212,389.58,62.6083,375.745,61.7476,361.177,62.0732,347.057,64.0304,331.532,66.0379,315.172,69.349,297.325,72.891,278.24,76.0474,257.798,78.2235,236.678,79.3456,213.945,78.9224,193.217,76.4996,172.234,72.4614,153.553,67.5421,136.689,62.1734,120.773,58.0377,20.0,0.63
8,,9.0,1168.05,397.292,1106.58,335.722,1026.49,287.607,969.609,257.806,911.103,232.693,866.83,210.95,814.834,191.433,770.653,174.895,732.45,161.421,695.695,149.526,661.916,139.331,631.536,128.515,600.178,117.72,573.036,108.168,547.582,99.3183,524.53,91.2135,503.372,84.3042,484.145,78.1634,466.692,73.8857,449.695,71.111,434.063,69.1494,418.358,68.9546,401.883,70.7063,385.419,73.3066,367.608,76.0671,348.385,80.4449,327.12,84.1262,304.904,87.3911,281.143,89.5075,256.842,90.3577,232.316,89.2041,208.228,85.9055,185.362,80.7715,164.664,74.4822,146.487,68.0049,129.489,59.3628,20.0,0.64
9,,10.0,1222.83,413.024,1153.0,340.05,1071.15,302.08,1017.53,265.055,964.12,239.925,911.147,216.113,860.342,196.949,817.549,181.74,775.696,167.406,736.613,155.685,700.508,144.53,665.947,131.981,633.106,121.699,604.694,111.472,578.377,102.365,554.22,94.3979,532.825,87.1208,512.93,81.7865,494.644,77.514,477.697,74.8886,461.149,73.8815,444.153,74.2666,427.024,76.6613,408.482,80.5174,389.332,83.6242,368.183,88.3201,345.184,92.7626,321.047,95.7193,294.891,97.4834,268.736,97.5384,242.581,96.0564,217.605,91.6759,193.343,85.6677,171.791,78.9782,152.927,71.6667,135.259,62.8803,20.0,0.61
